sample	path	group
T145171	CGC/results/mkdup/DPCh_plate1_F11_S71.bam	Fall
T145193	CGC/results/mkdup/DPCh_plate1_B12_S24.bam	Fall
T145241	CGC/results/mkdup/DPCh_plate1_F12_S72.bam	Fall
T145242	CGC/results/mkdup/DPCh_plate1_G12_S84.bam	Fall
T145152	CGC/results/mkdup/DPCh_plate1_B11_S23.bam	Fall
T145153	CGC/results/mkdup/DPCh_plate1_C11_S35.bam	Fall
T145200	CGC/results/mkdup/DPCh_plate1_C12_S36.bam	Fall
T145163	CGC/results/mkdup/DPCh_plate1_D11_S47.bam	Fall
T144996	CGC/results/mkdup/DPCh_plate1_F10_S70.bam	Spring
T144967	CGC/results/mkdup/DPCh_plate1_D09_S45.bam	Spring
T145003	CGC/results/mkdup/DPCh_plate1_H10_S94.bam	Spring
T144997	CGC/results/mkdup/DPCh_plate1_G10_S82.bam	Spring
T144979	CGC/results/mkdup/DPCh_plate1_H09_S93.bam	Spring
T144989	CGC/results/mkdup/DPCh_plate1_C10_S34.bam	Spring
T144981	CGC/results/mkdup/DPCh_plate1_B10_S22.bam	Spring
T144974	CGC/results/mkdup/DPCh_plate1_G09_S81.bam	Spring
